OrderID,OrderDate,OrderTotal,CookieID,CookieName,RevenuePerCookie,Total Revenue,CostPerCookie,Total Costs,Quantity,Profit,CustomerID,CustomerName,Phone,Address,City,State,Zip,Country,Notes
8,11-01-22,2424,3,Oatmeal Raisin,5,180,2.2,79.2,36,100.8,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
8,11-01-22,2424,4,Snickerdoodle,4,744,1.5,279,186,465,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
9,13-01-22,1982,2,Fortune Cookie,1,226,0.5,113,226,113,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
9,13-01-22,1982,4,Snickerdoodle,4,396,1.5,148.5,99,247.5,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
9,13-01-22,1982,1,Chocolate Chip,5,595,2,238,119,357,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
9,13-01-22,1982,3,Oatmeal Raisin,5,765,2.2,336.6,153,428.4,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
10,13-01-22,39,2,Fortune Cookie,1,39,0.5,19.5,39,19.5,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
11,15-01-22,1383,6,White Chocolate Macadamia Nut,6,390,2.75,178.75,65,211.25,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
11,15-01-22,1383,4,Snickerdoodle,4,940,1.5,352.5,235,587.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
11,15-01-22,1383,2,Fortune Cookie,1,53,0.5,26.5,53,26.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
12,19-01-22,1680,1,Chocolate Chip,5,855,2,342,171,513,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
12,19-01-22,1680,5,Sugar,3,591,1.25,246.25,197,344.75,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
12,19-01-22,1680,2,Fortune Cookie,1,234,0.5,117,234,117,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
13,20-01-22,3293,2,Fortune Cookie,1,193,0.5,96.5,193,96.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
13,20-01-22,3293,4,Snickerdoodle,4,900,1.5,337.5,225,562.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
13,20-01-22,3293,1,Chocolate Chip,5,1005,2,402,201,603,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
13,20-01-22,3293,3,Oatmeal Raisin,5,1195,2.2,525.8,239,669.2,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
14,21-01-22,773,3,Oatmeal Raisin,5,390,2.2,171.6,78,218.4,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
14,21-01-22,773,6,White Chocolate Macadamia Nut,6,156,2.75,71.5,26,84.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
14,21-01-22,773,2,Fortune Cookie,1,227,0.5,113.5,227,113.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
15,21-01-22,1093,5,Sugar,3,144,1.25,60,48,84,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
15,21-01-22,1093,3,Oatmeal Raisin,5,545,2.2,239.8,109,305.2,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
15,21-01-22,1093,2,Fortune Cookie,1,99,0.5,49.5,99,49.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
15,21-01-22,1093,1,Chocolate Chip,5,305,2,122,61,183,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
16,21-01-22,998,6,White Chocolate Macadamia Nut,6,774,2.75,354.75,129,419.25,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
16,21-01-22,998,4,Snickerdoodle,4,224,1.5,84,56,140,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
17,23-01-22,912,5,Sugar,3,597,1.25,248.75,199,348.25,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
17,23-01-22,912,3,Oatmeal Raisin,5,315,2.2,138.6,63,176.4,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
18,24-01-22,915,3,Oatmeal Raisin,5,915,2.2,402.6,183,512.4,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
19,27-01-22,1410,6,White Chocolate Macadamia Nut,6,1410,2.75,646.25,235,763.75,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
20,01-02-22,1955,3,Oatmeal Raisin,5,735,2.2,323.4,147,411.6,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
20,01-02-22,1955,1,Chocolate Chip,5,1220,2,488,244,732,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
21,05-02-22,74,2,Fortune Cookie,1,74,0.5,37,74,37,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
22,05-02-22,1744,2,Fortune Cookie,1,141,0.5,70.5,141,70.5,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
22,05-02-22,1744,5,Sugar,3,723,1.25,301.25,241,421.75,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
22,05-02-22,1744,3,Oatmeal Raisin,5,880,2.2,387.2,176,492.8,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
23,06-02-22,1776,1,Chocolate Chip,5,660,2,264,132,396,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
23,06-02-22,1776,4,Snickerdoodle,4,108,1.5,40.5,27,67.5,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
23,06-02-22,1776,6,White Chocolate Macadamia Nut,6,1008,2.75,462,168,546,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
24,06-02-22,1829,5,Sugar,3,366,1.25,152.5,122,213.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
24,06-02-22,1829,6,White Chocolate Macadamia Nut,6,1284,2.75,588.5,214,695.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
24,06-02-22,1829,2,Fortune Cookie,1,179,0.5,89.5,179,89.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
25,07-02-22,1113,2,Fortune Cookie,1,239,0.5,119.5,239,119.5,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
25,07-02-22,1113,3,Oatmeal Raisin,5,210,2.2,92.4,42,117.6,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
25,07-02-22,1113,4,Snickerdoodle,4,664,1.5,249,166,415,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
26,08-02-22,171,2,Fortune Cookie,1,171,0.5,85.5,171,85.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
27,09-02-22,1291,1,Chocolate Chip,5,895,2,358,179,537,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
27,09-02-22,1291,6,White Chocolate Macadamia Nut,6,396,2.75,181.5,66,214.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
28,11-02-22,2060,6,White Chocolate Macadamia Nut,6,1008,2.75,462,168,546,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
28,11-02-22,2060,4,Snickerdoodle,4,536,1.5,201,134,335,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
28,11-02-22,2060,5,Sugar,3,516,1.25,215,172,301,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
29,11-02-22,1263,4,Snickerdoodle,4,320,1.5,120,80,200,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
29,11-02-22,1263,5,Sugar,3,282,1.25,117.5,94,164.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
29,11-02-22,1263,3,Oatmeal Raisin,5,480,2.2,211.2,96,268.8,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
29,11-02-22,1263,6,White Chocolate Macadamia Nut,6,102,2.75,46.75,17,55.25,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
29,11-02-22,1263,2,Fortune Cookie,1,79,0.5,39.5,79,39.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
30,12-02-22,2117,5,Sugar,3,456,1.25,190,152,266,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
30,12-02-22,2117,1,Chocolate Chip,5,845,2,338,169,507,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
30,12-02-22,2117,4,Snickerdoodle,4,816,1.5,306,204,510,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
31,13-02-22,1900,1,Chocolate Chip,5,755,2,302,151,453,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
31,13-02-22,1900,3,Oatmeal Raisin,5,1145,2.2,503.8,229,641.2,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
32,16-02-22,2847,3,Oatmeal Raisin,5,640,2.2,281.6,128,358.4,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
32,16-02-22,2847,1,Chocolate Chip,5,465,2,186,93,279,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
32,16-02-22,2847,4,Snickerdoodle,4,488,1.5,183,122,305,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
32,16-02-22,2847,6,White Chocolate Macadamia Nut,6,1254,2.75,574.75,209,679.25,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
33,17-02-22,2159,5,Sugar,3,606,1.25,252.5,202,353.5,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
33,17-02-22,2159,3,Oatmeal Raisin,5,515,2.2,226.6,103,288.4,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
33,17-02-22,2159,6,White Chocolate Macadamia Nut,6,1038,2.75,475.75,173,562.25,#NAME?,ACME Bites,920-419-6270,4660 Sycamore Lake Road,Green Bay,WI,54303,United States,One of our best customers! Likes to talk about roses. Make sure to read all about roses on Wikipedia before meeting.
34,18-02-22,1196,2,Fortune Cookie,1,196,0.5,98,196,98,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
34,18-02-22,1196,1,Chocolate Chip,5,1000,2,400,200,600,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
35,21-02-22,1165,5,Sugar,3,339,1.25,141.25,113,197.75,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
35,21-02-22,1165,3,Oatmeal Raisin,5,170,2.2,74.8,34,95.2,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
35,21-02-22,1165,4,Snickerdoodle,4,656,1.5,246,164,410,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
36,25-02-22,1391,1,Chocolate Chip,5,580,2,232,116,348,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
36,25-02-22,1391,4,Snickerdoodle,4,508,1.5,190.5,127,317.5,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
36,25-02-22,1391,5,Sugar,3,303,1.25,126.25,101,176.75,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
37,25-02-22,1415,1,Chocolate Chip,5,680,2,272,136,408,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
37,25-02-22,1415,5,Sugar,3,735,1.25,306.25,245,428.75,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
38,26-02-22,685,1,Chocolate Chip,5,685,2,274,137,411,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
39,26-02-22,1094,4,Snickerdoodle,4,56,1.5,21,14,35,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
39,26-02-22,1094,6,White Chocolate Macadamia Nut,6,1038,2.75,475.75,173,562.25,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
40,28-02-22,487,4,Snickerdoodle,4,52,1.5,19.5,13,32.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
40,28-02-22,487,3,Oatmeal Raisin,5,435,2.2,191.4,87,243.6,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
41,28-02-22,240,1,Chocolate Chip,5,240,2,96,48,144,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
42,07-03-22,1351,2,Fortune Cookie,1,123,0.5,61.5,123,61.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
42,07-03-22,1351,4,Snickerdoodle,4,868,1.5,325.5,217,542.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
